HeatMiser_ID	Distance_Feature	Speeding_Feature	Location Type	OSHA
2018_01	53.76	9	Office	Safe
2018_02	51.86	4	Office	Safe
2018_03	51.59	4	Office	Safe
2018_04	168.9	5	Warehouse	Safe
2018_05	53.5	5	Office	Safe
2018_06	34.68	6	Office	Safe
2018_07	52.28	8	Office	Safe
2018_08	160.52	19	Warehouse	Safe
2018_09	46.75	4	Office	Safe
2018_10	51.91	6	Office	Safe
2018_11	41.81	3	Office	Safe
2018_12	48.82	5	Office	Safe
2018_13	185.39	20	Warehouse	Safe
2018_14	35.87	35	Office	Compliant
2018_15	49.64	5	Office	Safe
2018_16	31.6	5	Office	Safe
2018_17	156.79	46	Warehouse	Compliant
2018_18	62.26	6	Office	Safe
2018_19	48.97	4	Office	Safe
2018_20	46.66	8	Office	Safe
2018_21	149.19	16	Warehouse	Safe
2018_22	49.85	8	Office	Safe
2018_23	47.47	6	Office	Safe
2018_24	61.68	6	Office	Safe
2018_25	43.09	4	Office	Safe
2018_26	191.88	7	Warehouse	Safe
2018_27	41.38	2	Office	Safe
2018_28	38.03	5	Office	Safe
2018_29	54.87	27	Office	Compliant
2018_30	40.66	7	Office	Safe
2018_31	51.7	36	Office	Compliant
2018_32	195.66	4	Warehouse	Safe
2018_33	152.55	17	Warehouse	Safe
2018_34	68.86	31	Office	Compliant
2018_35	28.91	4	Office	Safe
2018_36	53.33	3	Office	Safe
2018_37	170.9	15	Warehouse	Safe
2018_38	47.34	5	Office	Safe
2018_39	45.08	4	Office	Safe
2018_40	191.98	10	Warehouse	Safe
2018_41	174.81	13	Warehouse	Safe
2018_42	52.98	6	Office	Safe
2018_43	60.76	5	Office	Safe
2018_44	57.78	4	Office	Safe
2018_45	48.58	36	Office	Compliant
2018_46	56.91	3	Office	Safe
2018_47	56.82	3	Office	Safe
2018_48	46.79	7	Office	Safe
2018_49	66.89	3	Office	Safe
